Reader Level 1: Everyday Language,,,
Vocabulary (Tiers 1–10),,,
Tier,Entry #,Content,Word Count
Tier 14,10,Success relies entirely on the one focus of attending every single class this semester.,14
Tier 15,1,It is crucial to have a clear objective before beginning any project with your group.,15
Tier 15,2,The company announced its sole objective for the next year is to achieve minimal expense.,15
Tier 15,3,Moving to a new city requires a lot of careful planning and some deep research.,15
Tier 15,4,You must find a safe apartment that is located very near to your university campus.,15
Tier 15,5,It is helpful to learn the local bus routes during your first week of school.,15
Tier 15,6,"If you get lost, do not be afraid to ask for help from the community.",15
Tier 15,7,Most people in the neighborhood are happy to give you directions to the nearest station.,15
Tier 15,8,Living independently as a college student requires a rigid protocol of discipline and also management.,15
Tier 15,9,You must ensure that you can afford your apartment while also purchasing your healthy food.,15
Tier 15,10,Adapt to a scenario where your daily output of energy is very high every day.,15
Tier 16,1,It is crucial to find a stable balance between your academic occupation and your personal welfare.,16
Tier 16,2,"Although the weather was cold, the student continued walking toward the kitchen to finish the project.",16
Tier 16,3,A medical practitioner explained that eating every green vegetable available is integral to a healthy lifestyle.,16
Tier 16,4,Understanding the complex nature of a global community requires students to recognize that every action matters.,16
Tier 16,5,Following the established protocol guaranteed that the duration for the emergency evacuation was kept very minimal.,16
Tier 16,6,The police had to reject all other options to facilitate a quick assembly of all personnel.,16
Tier 16,7,This rigid route was the sole option for survival during the dangerous storm that hit yesterday.,16
Tier 16,8,The documentary was presented as a series of interviews with experts on the subject of history.,16
Tier 16,9,This protocol was chosen to exhibit a mutual and objective perspective on the current social issue.,16
Tier 16,10,The duration of the series allowed for a deep penetration into the very complex academic subject.,16
Tier 17,1,The government needed to create a stable foundation for the new currency to inhibit any market fluctuation.,17
Tier 17,2,A stable currency will facilitate corporate investment and help the nation attain long-term economic health and growth.,17
Tier 17,3,Reaching the summit of the mountain was the ultimate objective for the group of very brave climbers.,17
Tier 17,4,The duration of the climb involved a rigid protocol of safety and rest for every single person.,17
Tier 17,5,The overall scope of the mountain's bulk was daunting to even the most experienced of the hikers.,17
Tier 17,6,The view from the summit helped to justify the immense effort required to reach the very top.,17
Tier 17,7,The scientist began to accumulate data for the study by following a very strict and formal protocol.,17
Tier 17,8,The ongoing collection over a long duration was integral to justifying the final assumption of the research.,17
Tier 17,9,This bulk of information was integral to the overall success of the project and the final report.,17
Tier 17,10,The city council voted to alter the planned route for the new highway to help the traffic.,17
Tier 18,1,This crucial decision will affect all adjacent communities and the objective is to negate traffic in the city.,18
Tier 18,2,The council must clarify the new protocol immediately so that the residents can understand the changes being made.,18
Tier 18,3,Workers must assemble the components in a rigid and precise manner to guarantee the final output is perfect.,18
Tier 18,4,Any fluctuation in the assembly protocol can distort the entire product so they must follow the instructions carefully.,18
Tier 18,5,The new CEO demanded a radical change in corporate culture and the financial protocol was also completely altered.,18
Tier 18,6,The assumption was that this change would facilitate innovation and the overall scope of the change was massive.,18
Tier 18,7,The two nations reached a mutual agreement on trade protocols which will facilitate a stable transmission of goods.,18
Tier 18,8,The ongoing negotiations were integral to securing a reliable economic route for the future of the entire region.,18
Tier 18,9,The moral obligation now is to adhere to the terms that were agreed upon by both of countries.,18
Tier 18,10,The supply chain runs parallel to the distribution route to guarantee that the flow of goods is steady.,18
Tier 19,1,The overall objective is to guarantee that the flow of goods coheres to the demand of the local market.,19
Tier 19,2,Any fluctuation in either route can depress the market so this parallel system is integral to our global commerce.,19
Tier 19,3,The research team decided to focus on a small portion of the data to avoid being overwhelmed by bulk.,19
Tier 19,4,This decision was crucial to inhibit being overwhelmed by the bulk of information that was collected during the study.,19
Tier 19,5,The objective was to diagnose the problem within a finite scope and this limited portion served as an anchor.,19
Tier 19,6,The council voted to reverse the controversial policy immediately after a preliminary assessment of the public's response was conducted.,19
Tier 19,7,The overall goal was to negate the negative bias caused by the initial implementation of the new school rules.,19
Tier 19,8,They hope to attain a more stable political status by listening to the concerns of the local community members.,19
Tier 19,9,The rigid framework provided the foundation for the bridge's stability and engineers must guarantee the assembly protocol is followed.,19
Tier 19,10,The overall structure must be immune to external fluctuations for a long duration to ensure the safety of everyone.,19
Tier 20,1,Students must learn how to handle their own money wisely if they want to live comfortably in a new apartment.,20
Tier 20,2,The teacher told the entire class that they must finish their homework before they go home for the long weekend.,20
Tier 20,3,It is very important to drink plenty of clean water every day to keep your body healthy and very strong.,20
Tier 20,4,You should check the bus schedule online before you leave your house so that you do not arrive very late.,20
Tier 20,5,The local hospital is located right next to the big park where many people go to exercise in the morning.,20
Tier 20,6,"If you want to find a good job, you should practice your speaking skills with your friends every single day.",20
Tier 20,7,Please make sure that you lock all the doors and windows before you go to sleep at night for safety.,20
Tier 20,8,Many students prefer to study in the library because it is a very quiet place with many helpful books today.,20
Tier 20,9,You can buy fresh fruit and green vegetables at the public market every Saturday morning for a very low price.,20
Tier 20,10,Using a computer for your school work is a very essential skill that every college student needs to learn now.,20
,,,
Paragraphs (Tiers 21–30),,,
Tier,Entry #,Content,Word Count
Tier 21,1,"The golden sun rises above the quiet mountains. A gentle breeze blows through the tall green trees, signaling the start of a brand new day ahead.",26
Tier 21,2,"A small, curious fox walks through the meadow. It searches for berries near the edge of the forest while the morning dew sparkles on the grass.",26
Tier 21,3,"The old clock tower stands in the center of the village. It chimes loudly, reminding everyone that the afternoon is here and it is time to work.",27
Tier 21,4,"I sit by the calm lake and watch the clouds drift by. The water is perfectly still, reflecting the blue sky like a giant, clear glass mirror.",27
Tier 21,5,"A young artist paints a picture of a ship. He uses bright shades of blue and white to capture the feeling of the open, windy, salty sea.",27
Tier 21,6,"The baker kneads the dough on a wooden table. The kitchen is filled with the warm, comforting scent of fresh bread coming from the hot brick oven.",27
Tier 21,7,"We explore the deep, mysterious cave near the valley. The walls are covered in colorful minerals that shimmer when our lanterns shine light upon them today.",26
Tier 21,8,"The little kitten plays with a ball of yarn. It jumps and rolls across the floor, showing its energy before curling up for a long afternoon nap.",27
Tier 21,9,"A train travels across the vast countryside. It passes through green fields and small, quiet towns, moving quickly toward the busy city lights in the distance now.",27
Tier 21,10,"The astronomer looks through his large telescope. He studies the patterns of the stars, hoping to learn more about the distant planets in our solar system today.",27
Tier 22,1,"Rain falls steadily on the thirsty garden. The flowers lift their heads to drink the water, looking vibrant and fresh after the long, dry summer heat spell.",27
Tier 22,2,"The librarian organizes the books on the high shelves. She handles each one with care, knowing that every story holds a different adventure for a reader today.",27
Tier 22,3,"We hike along the rocky mountain path. The air is cool and thin, and we can see for miles in every direction under the bright, clear sky.",27
Tier 22,4,"A talented musician plays a violin in the park. The melody is soft and sad, drawing a crowd of people who stand quietly to listen and reflect.",27
Tier 22,5,"The chef prepares a feast for the village festival. He uses fresh herbs and spices, making the air smell like a delicious mix of savory, hot flavors.",27
Tier 22,6,"A lighthouse stands firm against the stormy waves. Its bright beam cuts through the dark fog, showing the ships the safest path to the harbor entrance.",26
Tier 22,7,"I love to read by the fireplace during winter. The crackling wood is so relaxing, and it keeps the room warm while the snow falls outside today.",27
Tier 22,8,"The children build a tall sandcastle on the beach. They work together to dig a deep moat, hoping to protect their creation from the rising ocean tide.",27
Tier 22,9,An architect draws plans for a new school building. He wants to create a space where students feel inspired to learn and grow for many years.,26
Tier 22,10,The blacksmith strikes the glowing metal with his heavy hammer. Sparks fly into the air as he shapes the iron into a strong tool for harvesting.,26
