Reader Level 2: Transactional & Social Language,,,
Vocabulary (Tiers 1–10),,,
Tier,Entry #,Content,Word Count
Tier 12,1,The objective is to extract the underlying issue and modify the structure.,12
Tier 12,2,A formal contract is a legal document that defines a mutual agreement.,12
Tier 12,3,We must assume that the market trend will remain stable for years.,12
Tier 12,4,The council will enforce a new regime to regulate every social entity.,12
Tier 12,5,High income levels usually precede a major shift in the local economy.,12
Tier 12,6,The professor asked the student to cite a specific theory in class.,12
Tier 12,7,Technical errors can inhibit the transmission of data via the main server.,12
Tier 12,8,We need to assess the overall volume of the project before starting.,12
Tier 12,9,The implicit goal of the meeting is to facilitate better team communication.,12
Tier 12,10,You should seek professional advice to justify your current financial status today.,12
Tier 13,1,Every academic paper must cite its sources properly to avoid a major error.,13
Tier 13,2,The government will implement a new protocol to facilitate the integration of immigrants.,13
Tier 13,3,You must verify the identity of the entity before you sign the contract.,13
Tier 13,4,A coherent summary of the research is integral to the success of projects.,13
Tier 13,5,The ongoing shift in social ideology is a major factor in our community.,13
Tier 13,6,We must ensure that the output does not exceed the capacity of systems.,13
Tier 13,7,The lawyer will seek to justify the legal status of the young student.,13
Tier 13,8,Using a precise code is necessary to extract information from the large database.,13
Tier 13,9,The principal objective is to stabilize the income during this very difficult period.,13
Tier 13,10,We can observe a clear trend toward the use of digital communication tools.,13
Tier 14,1,A legal entity is defined by its ability to enter into a formal contract.,14
Tier 14,2,The research team will conduct an empirical study to verify the social theory.,13
Tier 14,3,We must allocate more resources to ensure the stability of the local community.,13
Tier 14,4,The subsequent phase of the project will focus on the integration of data.,13
Tier 14,5,A verbal agreement is not as valid as a document with a signature.,13
Tier 14,6,The practitioner must modify the treatment to ensure a better outcome for patients.,13
Tier 14,7,We must analyze the data via a strict protocol to ensure absolute accuracy.,13
Tier 14,8,The overall scope of the work is to diagnose and inhibit virus spread.,13
Tier 14,9,The committee will reject the proposal if it does not cohere with guidelines.,13
Tier 14,10,You must maintain a professional status by following the code of conduct daily.,13
Tier 15,1,The government plans to enforce a stricter environmental regime to inhibit further damage to resources.,15
Tier 15,2,We must attain a valid result by following the established protocol for every scientific experiment.,15
Tier 15,3,The principal factor in the decision was the objective summary of the previous fiscal period.,15
Tier 15,4,You should seek to modify your study habits to improve your final academic performance today.,15
Tier 15,5,The transition to a digital economy will facilitate a major shift in the global market.,15
Tier 15,6,A coherent ideology is the foundation of a stable and healthy social and political system.,15
Tier 15,7,The technician will trace the error via the network to ensure a quick system repair.,15
Tier 15,8,The volume of noise must not exceed the parameters established by the local city council.,15
Tier 15,9,We must justify the expense by showing the positive impact on the local student community.,15
Tier 15,10,The implicit notion of the project is to promote the concept of mutual social respect.,15
Tier 16,1,The overall scope of the shift was so extensive that it altered the national foundation.,15
Tier 16,2,You must ensure that the sum of all parts is equal to the target volume.,15
Tier 16,3,The administrator will invoke the emergency protocol to guarantee the safety of every single student.,15
Tier 16,4,A diverse community requires a flexible regime to facilitate the integration of many different groups.,15
Tier 16,5,We must seek to negate the negative bias that can distort the results of research.,15
Tier 16,6,The practitioner will use a precise instrument to extract a sample for a further diagnosis.,15
Tier 16,7,The company will suspend the project if the costs exceed the initial projection for period.,15
Tier 16,8,We must verify that the label matches the code to avoid a major shipping error.,15
Tier 16,9,The academic thesis must present a coherent argument that is supported by large volume data.,15
Tier 16,10,A stable income is a major factor in the overall welfare of the working family.,15
Tier 17,1,This crucial step was integral to guaranteeing the reliable output of the community work and data.,16
Tier 17,2,The teacher will provide a summary of the lesson to help students understand the underlying concept.,16
Tier 17,3,We must assume that the new trend will continue to emerge in the subsequent study year.,16
Tier 17,4,The legal entity must provide a valid reason to justify the termination of the work contract.,16
Tier 17,5,The objective of the survey is to assess the status of the local environment via feedback.,16
Tier 17,6,A rigid protocol can inhibit innovation so we must seek to create a flexible work culture.,16
Tier 17,7,The athlete must follow a strict regime of exercise and nutrition to attain a high status.,16
Tier 17,8,We must analyze the fluctuation in the market to diagnose the cause of the price shift.,16
Tier 17,9,The programmer will modify the code to ensure that the system is immune to the error.,16
Tier 17,10,A mutual agreement was reached to facilitate the transmission of goods between the two adjacent countries.,16
Tier 18,1,"The income trend showed an overlap with the previous period, thereby confirming the social theory of the regime.",18
Tier 18,2,We must integrate the new data into the system to guarantee a precise projection for the final quarter.,18
Tier 18,3,The council will enforce a new policy to inhibit the arbitrary use of power within local government.,17
Tier 18,4,You must ensure that your citation is accurate to avoid any legal issue related to academic work.,17
Tier 18,5,The objective is to attain a stable level of production that does not exceed current market demand.,17
Tier 18,6,The practitioner will use a verbal test to assess the cognitive capacity of the patient in clinic.,17
Tier 18,7,A coherent summary of the results was presented to the committee to justify the request for funding.,17
Tier 18,8,We must seek to understand the underlying factors that lead to the emergence of a social trend.,17
Tier 18,9,The transmission of information via the satellite was interrupted by a major error in the hardware system.,17
Tier 18,10,The school will implement a new curriculum to facilitate the development of essential skills for every student.,17
Tier 19,1,The new regime plans to allocate more resources to diagnose and inhibit financial errors within the community programs.,18
Tier 19,2,We must ensure that the final output is virtually identical to the original design to guarantee success.,17
Tier 19,3,The scholar will seek to verify the thesis via a series of interviews with academic field experts.,17
Tier 19,4,A valid license is required to operate a motor vehicle on the public roads of the district.,17
Tier 19,5,The overall goal is to negate the impact of the error and restore network system stability now.,17
Tier 19,6,The practitioner will modify the dosage to inhibit the side effects and ensure the sick patient's comfort.,17
Tier 19,7,We must assume that the project will exceed the budget unless we implement a rigid control protocol.,17
Tier 19,8,The transition to a new system will facilitate a major shift in our daily work tasks today.,17
Tier 19,9,A coherent ideology is necessary to maintain the social fabric of a large and diverse global nation.,17
Tier 19,10,The volume of the liquid should not exceed the marked parameter on the side of the tube.,17
Tier 20,1,The objective was to attain a preliminary assessment of the erosion trend before expanding the full scope of the research.,20
Tier 20,2,You must follow the safety protocol to guarantee your own protection while working in the chemical laboratory at the university.,20
Tier 20,3,The teacher will ask the students to write a short summary of the main theme of the historical novel today.,20
Tier 20,4,We must verify the sum of the expenses before we can finalize the budget for the next fiscal year period.,20
Tier 20,5,A stable income is a principal factor in the ability of a family to purchase a new home in city.,20
Tier 20,6,The legal entity must comply with all the regulations established by the government to maintain its official business license status.,20
Tier 20,7,We must seek to integrate the different components into a coherent whole to ensure the overall stability of the structure.,20
Tier 20,8,The practitioner will use a specific code to label the samples that were collected during the clinical trial last week.,20
Tier 20,9,The transmission of data via the internet is an integral part of modern social and professional communication in our world.,20
Tier 20,10,You should check the schedule online to ensure that you do not miss the deadline for the major school assignment.,20
,,,
Paragraphs (Tiers 21–30),,,
Tier,Entry #,Content,Word Count
Tier 21,1,Could you please schedule a meeting for Monday morning? I need to discuss the new project timeline with the team before we start the task today.,26
Tier 21,2,I would like to purchase two tickets for the afternoon train. Is there a discount available for students who show their school identification cards here?,25
Tier 21,3,"We should cooperate to finish the reports by five o'clock. If we share the workload, we will certainly complete everything on time for the boss.",25
Tier 21,4,"Excuse me, where can I find the nearest post office? I need to mail this package to my sister before the office closes at noon.",25
Tier 21,5,Please sign this document to confirm your arrival at the workshop. We need to keep a record of all participants for our community event today.,25
Tier 21,6,"I am calling to confirm my reservation for dinner tonight. We will be a group of four, and we would prefer a table near the window.",26
Tier 21,7,"Could you help me carry these heavy boxes to the storage room? I cannot manage them alone, and I really need to clear the hallway now.",26
Tier 21,8,We need to coordinate our schedules for the volunteer shift this weekend. Please let me know which hours you are available to work with us.,25
Tier 21,9,"Excuse me, is this seat taken? I would like to sit here and read while I wait for the bus to arrive at the station.",25
Tier 21,10,Can you please process my application for the library card? I have brought all the necessary forms and my identification as you requested earlier today.,25
